Time,Name,Address / Platform,Region,Town,Updated_URL
"Monday, 7:30 PM",courage-to-change-group-sayville,131 Middle Road,Sayville,Islip,https://www.narcotics.com/na-meeting/courage-to-change-group-sayville
"Monday, 7:30 PM",keep-it-green-group-huntington,125 Main Street,Huntington,Islip,https://www.narcotics.com/na-meeting/keep-it-green-group-huntington
"Monday, 7:30 PM",serenity-now-group,134 Middle Country Road,Coram,Islip,https://www.narcotics.com/na-meeting/serenity-now-group
"Monday, 8:00 PM",sick-not-twisted-group,Online39 North Carl Avenue,Babylon,Islip,https://www.narcotics.com/na-meeting/sick-not-twisted-group
"Monday, 8:30 PM",kiss-group-bohemia,1140 Locust Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/kiss-group-bohemia
"Tuesday, 11:00 AM",experience-strength-and-hope-in-the-morning-group,155 Indian Head Road,Commack,Islip,https://www.narcotics.com/na-meeting/experience-strength-and-hope-in-the-morning-group
"Tuesday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Tuesday, 6:30 PM",new-attitudes-group-bay-shore,107 East Main Street,Bay Shore,Islip,https://www.narcotics.com/na-meeting/new-attitudes-group-bay-shore
"Tuesday, 6:30 PM",new-beginnings-group-amityville,2 Monroe Street,Amityville,Islip,https://www.narcotics.com/na-meeting/new-beginnings-group-amityville
"Tuesday, 7:00 PM",simply-women-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/simply-women-group
"Tuesday, 7:00 PM",your-basic-step-group,Pulaski Road at New York Avenue,Huntington Station,Islip,https://www.narcotics.com/na-meeting/your-basic-step-group
"Tuesday, 7:30 PM",men-with-a-message-group,385 Sunrise Highway North Service Road,Patchogue,Islip,https://www.narcotics.com/na-meeting/men-with-a-message-group
"Tuesday, 7:30 PM",never-alone-group-northport,130 Main Street,Northport,Islip,https://www.narcotics.com/na-meeting/never-alone-group-northport
"Tuesday, 7:30 PM",step-in-time-group,111 Nassau Avenue,Islip,Islip,https://www.narcotics.com/na-meeting/step-in-time-group
"Tuesday, 8:00 PM",its-casual-by-the-lake-group,307 Hawkins Avenue,Ronkonkoma,Islip,https://www.narcotics.com/na-meeting/its-casual-by-the-lake-group
"Tuesday, 8:00 PM",tonights-the-night-group,485 Conklin Street,Farmingdale,Islip,https://www.narcotics.com/na-meeting/tonights-the-night-group
"Wednesday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Wednesday, 7:00 PM",setauket-five-and-dime-group,5 Caroline Avenue,Setauket,Islip,https://www.narcotics.com/na-meeting/setauket-five-and-dime-group
"Wednesday, 7:00 PM",guppy-group,423 Park Avenue,Huntington,Islip,https://www.narcotics.com/na-meeting/guppy-group
"Wednesday, 7:30 PM",recovery-in-ronkonoma-group,307 Hawkins Avenue,Ronkonkoma,Islip,https://www.narcotics.com/na-meeting/recovery-in-ronkonoma-group
"Wednesday, 7:30 PM",hope-on-the-rise-group,80 Leaf Avenue,Central Islip,Islip,https://www.narcotics.com/na-meeting/hope-on-the-rise-group
"Wednesday, 7:30 PM",new-kind-of-freedom-group,21 James Street,Babylon,Islip,https://www.narcotics.com/na-meeting/new-kind-of-freedom-group
"Wednesday, 8:00 PM",coming-back-to-life-group,Online175 East Main Street,Smithtown,Islip,https://www.narcotics.com/na-meeting/coming-back-to-life-group
"Wednesday, 8:00 PM",living-clean-in-babylon-group,39 North Carl Avenue,Babylon,Islip,https://www.narcotics.com/na-meeting/living-clean-in-babylon-group
"Wednesday, 8:00 PM",open-minded-men-group,1140 Locust Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/open-minded-men-group
"Thursday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Thursday, 7:00 PM",gates-of-delivery-group,423 Park Avenue,Huntington,Islip,https://www.narcotics.com/na-meeting/gates-of-delivery-group
"Thursday, 7:00 PM",true-recovery,1101 Lakeland Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/true-recovery
"Thursday, 7:30 PM",recovery-101-group,385 Sunrise Highway North Service Road,Patchogue,Islip,https://www.narcotics.com/na-meeting/recovery-101-group
"Thursday, 7:30 PM",recovery-in-paradise-group,Midway at Ocean Breeze,Ocean Beach,Islip,https://www.narcotics.com/na-meeting/recovery-in-paradise-group
"Thursday, 7:30 PM",serenity-in-medford-group,3251 Route 112,Medford,Islip,https://www.narcotics.com/na-meeting/serenity-in-medford-group
"Thursday, 7:30 PM",women-living-the-message-group,486 Town Line Road,Commack,Islip,https://www.narcotics.com/na-meeting/women-living-the-message-group
"Thursday, 7:30 PM",alive-again-group,340 Elmore Street,Central Islip,Islip,https://www.narcotics.com/na-meeting/alive-again-group
"Thursday, 7:30 PM",just-for-today-group-bellport,185 South Country Road,Bellport,Islip,https://www.narcotics.com/na-meeting/just-for-today-group-bellport
"Thursday, 7:30 PM",we-do-recover-group-amityville,3504 Great Neck Road,Amityville,Islip,https://www.narcotics.com/na-meeting/we-do-recover-group-amityville
"Thursday, 8:00 PM",strictly-the-steps-group,Online210 South Wellwood Avenue,Lindenhurst,Islip,https://www.narcotics.com/na-meeting/strictly-the-steps-group
"Thursday, 9:00 PM",gift-of-life-group,107 East Main Street,Bay Shore,Islip,https://www.narcotics.com/na-meeting/gift-of-life-group
"Saturday, 12:30 PM",recovery-can-happen-group,Online48 Greene Avenue,Sayville,Islip,https://www.narcotics.com/na-meeting/recovery-can-happen-group
"Saturday, 6:00 PM",friday-night-mens-group,497 Pulaski Road,Greenlawn,Islip,https://www.narcotics.com/na-meeting/friday-night-mens-group
"Saturday, 6:30 PM",wonder-women-group,497 Pulaski Road,Greenlawn,Islip,https://www.narcotics.com/na-meeting/wonder-women-group
"Saturday, 6:30 PM",pamphlets-to-freedom-group,1140 Locust Avenue,Bohemia,Islip,https://www.narcotics.com/na-meeting/pamphlets-to-freedom-group
"Saturday, 7:00 PM",students-of-recovery-group,159 Brightside Avenue,Central Islip,Islip,https://www.narcotics.com/na-meeting/students-of-recovery-group
"Saturday, 7:30 PM",all-about-change-group,Online315 Lake Shore Road,Lake Ronkonkoma,Islip,https://www.narcotics.com/na-meeting/all-about-change-group
"Saturday, 7:30 PM",this-must-be-the-place-group,106 Vernon Valley Road,East Northport,Islip,https://www.narcotics.com/na-meeting/this-must-be-the-place-group
"Saturday, 7:30 PM",our-primary-purpose-group-amityville,25 Broadway,Amityville,Islip,https://www.narcotics.com/na-meeting/our-primary-purpose-group-amityville
"Saturday, 8:00 PM",hype-group,309 Patchogue Road,Port Jefferson Station,Islip,https://www.narcotics.com/na-meeting/hype-group
"Saturday, 8:00 PM",free-on-friday-group,220 Central Avenue,Bethpage,Islip,https://www.narcotics.com/na-meeting/free-on-friday-group
"Saturday, 11:59 PM",midnight-hope-group,107 East Main Street,Bay Shore,Islip,https://www.narcotics.com/na-meeting/midnight-hope-group
"Sunday, 9:00 AM",we-can-with-a-helping-hand-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/we-can-with-a-helping-hand-group
"Sunday, 9:00 AM",choose-your-weapon-group,240 Main Street,Huntington,Hempstead,https://www.narcotics.com/na-meeting/choose-your-weapon-group
"Sunday, 9:00 AM",our-sunday-step-group,115 Leonardo Da Vinci Street,Copiague,Hempstead,https://www.narcotics.com/na-meeting/our-sunday-step-group
"Sunday, 9:00 AM",miracles-by-the-sea-group,Online75 East Olive Street,Long Beach,Hempstead,https://www.narcotics.com/na-meeting/miracles-by-the-sea-group
"Sunday, 10:00 AM",shelter-rock-live,178 Cold Spring Road,Syosset,Hempstead,https://www.narcotics.com/na-meeting/shelter-rock-live
"Sunday, 10:00 AM",genesis-2-group,100 Park Boulevard,Massapequa Park,Hempstead,https://www.narcotics.com/na-meeting/genesis-2-group
"Sunday, 10:00 AM",new-life-group-amityville,48 Cedar Road,Amityville,Hempstead,https://www.narcotics.com/na-meeting/new-life-group-amityville
"Sunday, 10:15 AM",recovery-at-work-group,16 Main Street,Hempstead,Hempstead,https://www.narcotics.com/na-meeting/recovery-at-work-group
"Sunday, 10:30 AM",sunday-just-for-today-group-lynbrook,Online1 Saperstein Plaza,Lynbrook,Hempstead,https://www.narcotics.com/na-meeting/sunday-just-for-today-group-lynbrook
"Sunday, 10:30 AM",am-group,Online130 South Central Avenue,Valley Stream,Hempstead,https://www.narcotics.com/na-meeting/am-group
"Sunday, 10:45 AM",beginners-group,Online612 Leland Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/beginners-group
"Sunday, 11:00 AM",even-on-sunday-group,97 17 64th Road,Queens,Hempstead,https://www.narcotics.com/na-meeting/even-on-sunday-group
"Sunday, 1:00 PM",regional-women-in-unity-group,109 55 Guy R Brewer Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/regional-women-in-unity-group
"Sunday, 1:00 PM",recovery-at-high-noon-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/recovery-at-high-noon-group
"Sunday, 1:00 PM",new-awakenings-group,141 Wolf Hill Road,Huntington Station,Hempstead,https://www.narcotics.com/na-meeting/new-awakenings-group
"Sunday, 1:30 PM",recovery-on-one-hundred-fiftieth-street-group,143 22 109th Ave,Queens,Hempstead,https://www.narcotics.com/na-meeting/recovery-on-one-hundred-fiftieth-street-group
"Sunday, 2:00 PM",old-school-recovery-group,20 Simmons Street,Copiague,Hempstead,https://www.narcotics.com/na-meeting/old-school-recovery-group
"Sunday, 3:00 PM",time-doesnt-matter-group,2 Monroe Street,Amityville,Hempstead,https://www.narcotics.com/na-meeting/time-doesnt-matter-group
"Sunday, 3:30 PM",courage-to-surrender-group,2640 Pitkin Avenue,Brooklyn,Hempstead,https://www.narcotics.com/na-meeting/courage-to-surrender-group
"Sunday, 4:30 PM",recovery-room-group-queens,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/recovery-room-group-queens
"Sunday, 5:00 PM",back-to-basics-group-roosevelt,189 Babylon Turnpike,Roosevelt,Hempstead,https://www.narcotics.com/na-meeting/back-to-basics-group-roosevelt
"Sunday, 5:00 PM",live-at-five-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/live-at-five-group
"Sunday, 5:00 PM",surrender-on-sunday-group,48 Cedar Road,Amityville,Hempstead,https://www.narcotics.com/na-meeting/surrender-on-sunday-group
"Sunday, 5:30 PM",searching-for-freedom-group,1846 Randall Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/searching-for-freedom-group
"Sunday, 6:00 PM",recovery-on-the-rock-group,150 Beach 110th Street,Queens,Hempstead,https://www.narcotics.com/na-meeting/recovery-on-the-rock-group
"Sunday, 6:00 PM",alive-in-spring-creek-group,2640 Pitkin Avenue,Brooklyn,Hempstead,https://www.narcotics.com/na-meeting/alive-in-spring-creek-group
"Sunday, 6:00 PM",clean-and-serene-group-queens,33 50 82nd Street,Queens,Hempstead,https://www.narcotics.com/na-meeting/clean-and-serene-group-queens
"Sunday, 6:30 PM",clean-slate-group-carle-place,534 Broadway,Carle Place,Hempstead,https://www.narcotics.com/na-meeting/clean-slate-group-carle-place
"Sunday, 6:45 PM",live-at-five-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/live-at-five-group
"Sunday, 7:00 PM",unity-on-union-group,82 06 Bell Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/unity-on-union-group
"Sunday, 7:00 PM",steps-on-sunday-group-queens,85 09 118th Street,Queens,Hempstead,https://www.narcotics.com/na-meeting/steps-on-sunday-group-queens
"Sunday, 7:00 PM",never-again-group-huntington,240 Main Street,Huntington,Hempstead,https://www.narcotics.com/na-meeting/never-again-group-huntington
"Sunday, 7:00 PM",grupo-buena-voluntad,79 01 Broadway,Elmhurst,Hempstead,https://www.narcotics.com/na-meeting/grupo-buena-voluntad
"Sunday, 7:00 PM",serenity-sunday-group-valley-stream,130 South Central Avenue,Valley Stream,Hempstead,https://www.narcotics.com/na-meeting/serenity-sunday-group-valley-stream
"Sunday, 7:30 PM",asbury-addicts-group,Online265 Asbury Avenue,Westbury,Hempstead,https://www.narcotics.com/na-meeting/asbury-addicts-group
"Sunday, 7:30 PM",in-out-of-the-cold-group,137 35 Brookville Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/in-out-of-the-cold-group
"Sunday, 7:30 PM",searching-for-freedom-group,1846 Randall Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/searching-for-freedom-group
"Sunday, 7:30 PM",surrender-to-win-group-brooklyn,2424 Linden Boulevard,Brooklyn,Hempstead,https://www.narcotics.com/na-meeting/surrender-to-win-group-brooklyn
"Sunday, 7:30 PM",we-do-recover-group-brooklyn,2640 Pitkin Avenue,Brooklyn,Hempstead,https://www.narcotics.com/na-meeting/we-do-recover-group-brooklyn
"Sunday, 8:00 PM",blue-print-to-recovery-group,95 Stewart Avenue,Hicksville,Hempstead,https://www.narcotics.com/na-meeting/blue-print-to-recovery-group
"Sunday, 8:00 PM",steps-on-the-beach-group,Online75 East Olive Street,Long Beach,Hempstead,https://www.narcotics.com/na-meeting/steps-on-the-beach-group
"Sunday, 8:00 PM",no-matter-what-group-hempstead,436 South Franklin Street,Hempstead,Hempstead,https://www.narcotics.com/na-meeting/no-matter-what-group-hempstead
"Sunday, 8:30 PM",surf-city-group,2701 Oceanside Road,Oceanside,Hempstead,https://www.narcotics.com/na-meeting/surf-city-group
"Sunday, 10:00 PM",late-show-group,16 Main Street,Hempstead,Hempstead,https://www.narcotics.com/na-meeting/late-show-group
"Monday, 10:00 AM",good-news-is-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/good-news-is-group
"Monday, 1:00 PM",hope-in-hicksville-group,95 Stewart Avenue,Hicksville,Hempstead,https://www.narcotics.com/na-meeting/hope-in-hicksville-group
"Monday, 2:00 PM",hope-at-two-group,2424 Linden Boulevard,Brooklyn,Hempstead,https://www.narcotics.com/na-meeting/hope-at-two-group
"Monday, 6:30 PM",todays-women-group,110 54 Farmers Boulevard,Queens,Hempstead,https://www.narcotics.com/na-meeting/todays-women-group
"Monday, 6:30 PM",living-clean-group-hicksville,95 Stewart Avenue,Hicksville,Hempstead,https://www.narcotics.com/na-meeting/living-clean-group-hicksville
"Monday, 7:00 PM",day-one-group,Online80 Hicksville Road,Seaford,Hempstead,https://www.narcotics.com/na-meeting/day-one-group
"Monday, 7:00 PM",early-show-in-the-rock-group,240 Lincoln Avenue,Rockville Centre,Hempstead,https://www.narcotics.com/na-meeting/early-show-in-the-rock-group
"Monday, 7:00 PM",monday-topic-group-queens,119 15 135 Avenue,Queens,Hempstead,https://www.narcotics.com/na-meeting/monday-topic-group-queens
"Monday, 7:30 PM",todays-men-group,100 59 196th Street,Queens,Hempstead,https://www.narcotics.com/na-meeting/todays-men-group
"Monday, 7:30 PM",recovery-by-the-book-group,196 West Centennial Avenue,Roosevelt,Hempstead,https://www.narcotics.com/na-meeting/recovery-by-the-book-group
"Monday, 7:30 PM",recover-and-live-group,85 18 61st Road,Queens,Hempstead,https://www.narcotics.com/na-meeting/recover-and-live-group
"Monday, 7:30 PM",keep-it-green-group-huntington,125 Main Street,Huntington,Hempstead,https://www.narcotics.com/na-meeting/keep-it-green-group-huntington
"Monday, 7:30 PM",females-finding-freedom-group,1807 Mahan Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/females-finding-freedom-group
"Monday, 7:30 PM",tnt-group-throggs-neck-topic,2783 Lafayette Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/tnt-group-throggs-neck-topic
"Monday, 7:30 PM",spiritual-reflection-group,625 Castle Hill Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/spiritual-reflection-group
"Monday, 7:30 PM",sisters-in-recovery-group,612 Leland Avenue,Bronx,Hempstead,https://www.narcotics.com/na-meeting/sisters-in-recovery-group
"Monday, 8:00 PM",monday-topic-group-stewart-manor,116 Elton Road,Stewart Manor,Hempstead,https://www.narcotics.com/na-meeting/monday-topic-group-stewart-manor
