Time,Name,Address / Platform,Region,Town
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Babylon
"Saturday, 11:59 PM",Midnight Hope Group,107 East Main Street,Bay Shore,Babylon
"Sunday, 7:00 AM",Hope by the Harbor Group,99 Ketcham Street,Northport,Islip
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Islip
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Islip
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Islip
"Sunday, 11:00 AM",Serenity In Sayville Group,131 Middle Road,Sayville,Islip
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Islip
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Islip
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Islip
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Islip
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Islip
"Sunday, 6:00 PM",Its a Spiritual Solution Group,130 Main Street,Northport,Islip
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Islip
"Sunday, 7:00 PM",Just For Today Group Bellport,185 South Country Road,Bellport,Islip
"Sunday, 7:00 PM",HOW We Live Group,1140 Locust Avenue,Bohemia,Islip
"Sunday, 7:30 PM",Sicker Than Most Group,107 East Main Street,Bay Shore,Islip
"Sunday, 7:30 PM",One Flight Up Group,107 East Main Street,Bay Shore,Islip
"Sunday, 8:00 PM",Saturday Night Alive Group,Online425 Hawkins Road,Selden,Islip
"Monday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Monday, 7:15 PM",Recovery Doesnt Stop Group,1101 Lakeland Avenue,Bohemia,Islip
"Monday, 7:30 PM",Courage to Change Group Sayville,131 Middle Road,Sayville,Islip
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Islip
"Monday, 7:30 PM",Serenity Now Group,134 Middle Country Road,Coram,Islip
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Islip
"Monday, 8:30 PM",KISS Group Bohemia,1140 Locust Avenue,Bohemia,Islip
"Tuesday, 11:00 AM",Experience Strength and Hope in the Morning Group,155 Indian Head Road,Commack,Islip
"Tuesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Tuesday, 6:30 PM",New Attitudes Group Bay Shore,107 East Main Street,Bay Shore,Islip
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Islip
"Tuesday, 7:00 PM",Simply Women Group,Online48 Greene Avenue,Sayville,Islip
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Islip
"Tuesday, 7:30 PM",Men with a Message Group,385 Sunrise Highway North Service Road,Patchogue,Islip
"Tuesday, 7:30 PM",Never Alone Group Northport,130 Main Street,Northport,Islip
"Tuesday, 7:30 PM",Step In Time Group,111 Nassau Avenue,Islip,Islip
"Tuesday, 8:00 PM",Its Casual by the Lake Group,307 Hawkins Avenue,Ronkonkoma,Islip
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Islip
"Wednesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Wednesday, 7:00 PM",Setauket Five and Dime Group,5 Caroline Avenue,Setauket,Islip
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Islip
"Wednesday, 7:30 PM",Recovery in Ronkonoma Group,307 Hawkins Avenue,Ronkonkoma,Islip
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Islip
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Islip
"Wednesday, 8:00 PM",Coming Back to Life Group,Online175 East Main Street,Smithtown,Islip
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Islip
"Wednesday, 8:00 PM",Open Minded Men Group,1140 Locust Avenue,Bohemia,Islip
"Thursday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Islip
"Thursday, 7:00 PM",True Recovery,1101 Lakeland Avenue,Bohemia,Islip
"Thursday, 7:30 PM",Recovery 101 Group,385 Sunrise Highway North Service Road,Patchogue,Islip
"Thursday, 7:30 PM",Recovery in Paradise Group,Midway at Ocean Breeze,Ocean Beach,Islip
"Thursday, 7:30 PM",Serenity in Medford Group,3251 Route 112,Medford,Islip
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Islip
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Islip
"Thursday, 7:30 PM",Just For Today Group Bellport,185 South Country Road,Bellport,Islip
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Islip
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Islip
"Thursday, 9:00 PM",Gift Of Life Group,107 East Main Street,Bay Shore,Islip
"Saturday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Islip
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Islip
"Saturday, 6:30 PM",Pamphlets To Freedom Group,1140 Locust Avenue,Bohemia,Islip
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Islip
"Saturday, 7:30 PM",All About Change Group,Online315 Lake Shore Road,Lake Ronkonkoma,Islip
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Islip
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Islip
"Saturday, 8:00 PM",HYPE Group,309 Patchogue Road,Port Jefferson Station,Islip
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Islip
"Saturday, 11:59 PM",Midnight Hope Group,107 East Main Street,Bay Shore,Islip
"Sunday, 9:00 AM",We Can With A Helping Hand Group,110 54 Farmers Boulevard,Queens,Hempstead
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Hempstead
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Hempstead
"Sunday, 9:00 AM",Miracles By The Sea Group,Online75 East Olive Street,Long Beach,Hempstead
"Sunday, 10:00 AM",Shelter Rock Live,178 Cold Spring Road,Syosset,Hempstead
"Sunday, 10:00 AM",Genesis 2 Group,100 Park Boulevard,Massapequa Park,Hempstead
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Hempstead
"Sunday, 10:15 AM",Recovery at Work Group,16 Main Street,Hempstead,Hempstead
"Sunday, 10:30 AM",Sunday Just For Today Group Lynbrook,Online1 Saperstein Plaza,Lynbrook,Hempstead
"Sunday, 10:30 AM",AM Group,Online130 South Central Avenue,Valley Stream,Hempstead
"Sunday, 10:45 AM",Beginners Group,Online612 Leland Avenue,Bronx,Hempstead
"Sunday, 11:00 AM",Even on Sunday Group,97 17 64th Road,Queens,Hempstead
"Sunday, 1:00 PM",Regional Women In Unity Group,109 55 Guy R Brewer Boulevard,Queens,Hempstead
"Sunday, 1:00 PM",Recovery at High Noon Group,110 54 Farmers Boulevard,Queens,Hempstead
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Hempstead
"Sunday, 1:30 PM",Recovery on One Hundred Fiftieth Street Group,143 22 109th Ave,Queens,Hempstead
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Hempstead
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Hempstead
"Sunday, 3:30 PM",Courage to Surrender Group,2640 Pitkin Avenue,Brooklyn,Hempstead
"Sunday, 4:30 PM",Recovery Room Group Queens,110 54 Farmers Boulevard,Queens,Hempstead
"Sunday, 5:00 PM",Back to Basics Group Roosevelt,189 Babylon Turnpike,Roosevelt,Hempstead
"Sunday, 5:00 PM",Live at Five Group,110 54 Farmers Boulevard,Queens,Hempstead
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Hempstead
"Sunday, 5:30 PM",Searching for Freedom Group,1846 Randall Avenue,Bronx,Hempstead
"Sunday, 6:00 PM",Recovery on the Rock Group,150 Beach 110th Street,Queens,Hempstead
"Sunday, 6:00 PM",Alive in Spring Creek Group,2640 Pitkin Avenue,Brooklyn,Hempstead
"Sunday, 6:00 PM",Clean And Serene Group Queens,33 50 82nd Street,Queens,Hempstead
"Sunday, 6:30 PM",Clean Slate Group Carle Place,534 Broadway,Carle Place,Hempstead
"Sunday, 6:45 PM",Live at Five Group,110 54 Farmers Boulevard,Queens,Hempstead
"Sunday, 7:00 PM",Unity on Union Group,82 06 Bell Boulevard,Queens,Hempstead
"Sunday, 7:00 PM",Steps on Sunday Group Queens,85 09 118th Street,Queens,Hempstead
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Hempstead
"Sunday, 7:00 PM",Grupo Buena Voluntad,79 01 Broadway,Elmhurst,Hempstead
"Sunday, 7:00 PM",Serenity Sunday Group Valley Stream,130 South Central Avenue,Valley Stream,Hempstead
"Sunday, 7:30 PM",Asbury Addicts Group,Online265 Asbury Avenue,Westbury,Hempstead
"Sunday, 7:30 PM",In Out of the Cold Group,137 35 Brookville Boulevard,Queens,Hempstead
"Sunday, 7:30 PM",Searching for Freedom Group,1846 Randall Avenue,Bronx,Hempstead
"Sunday, 7:30 PM",Surrender to Win Group Brooklyn,2424 Linden Boulevard,Brooklyn,Hempstead
"Sunday, 7:30 PM",We Do Recover Group Brooklyn,2640 Pitkin Avenue,Brooklyn,Hempstead
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Hempstead
"Sunday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Hempstead
"Sunday, 8:00 PM",No Matter What Group Hempstead,436 South Franklin Street,Hempstead,Hempstead
"Sunday, 8:30 PM",Surf City Group,2701 Oceanside Road,Oceanside,Hempstead
"Sunday, 10:00 PM",Late Show Group,16 Main Street,Hempstead,Hempstead
"Monday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Hempstead
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Hempstead
"Monday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Hempstead
"Monday, 6:30 PM",Todays Women Group,110 54 Farmers Boulevard,Queens,Hempstead
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Hempstead
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Hempstead
"Monday, 7:00 PM",Early Show in the Rock Group,240 Lincoln Avenue,Rockville Centre,Hempstead
"Monday, 7:00 PM",Monday Topic Group Queens,119 15 135 Avenue,Queens,Hempstead
"Monday, 7:30 PM",Todays Men Group,100 59 196th Street,Queens,Hempstead
"Monday, 7:30 PM",Recovery By The Book Group,196 West Centennial Avenue,Roosevelt,Hempstead
"Monday, 7:30 PM",Recover And Live Group,85 18 61st Road,Queens,Hempstead
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Hempstead
"Monday, 7:30 PM",Females Finding Freedom Group,1807 Mahan Avenue,Bronx,Hempstead
"Monday, 7:30 PM",TNT Group Throggs Neck Topic,2783 Lafayette Avenue,Bronx,Hempstead
"Monday, 7:30 PM",Spiritual Reflection Group,625 Castle Hill Avenue,Bronx,Hempstead
"Monday, 7:30 PM",Sisters in Recovery Group,612 Leland Avenue,Bronx,Hempstead
"Monday, 8:00 PM",Monday Topic Group Stewart Manor,116 Elton Road,Stewart Manor,Hempstead
"Monday, 8:00 PM",Recovery By Sunrise Group,Online130 South Central Avenue,Valley Stream,Hempstead
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Hempstead
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Hempstead
"Monday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Hempstead
"Monday, 9:30 PM",Last Chance Queens,110 54 Farmers Boulevard,Queens,Hempstead
"Tuesday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Hempstead
"Tuesday, 11:00 AM",Recovery On The Southside Group,143 22 109th Ave,Queens,Hempstead
"Tuesday, 1:00 PM",No More Excuses Group Queens,110 54 Farmers Boulevard,Queens,Hempstead
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Hempstead
"Tuesday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Hempstead
"Tuesday, 5:15 PM",Just For Men Group,110 54 Farmers Boulevard,Queens,Hempstead
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Hempstead
"Tuesday, 7:00 PM",Recovery on Main Street Group,16 Main Street,Hempstead,Hempstead
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Hempstead
"Tuesday, 7:30 PM",Anchored to Miracles Group,110 Anchor Avenue,Oceanside,Hempstead
"Tuesday, 7:30 PM",Recovery on the Rock Group,150 Beach 110th Street,Queens,Hempstead
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Hempstead
"Tuesday, 7:30 PM",Women With the Women Group Floral Park,57 Spooner Street,Floral Park,Hempstead
"Tuesday, 7:30 PM",Grupo Buena Voluntad,79 01 Broadway,Elmhurst,Hempstead
"Tuesday, 7:30 PM",Go To Recover Group,1807 Mahan Avenue,Bronx,Hempstead
"Tuesday, 7:30 PM",Awareness Group,95 18 Northern Boulevard,Queens,Hempstead
"Tuesday, 7:30 PM",Together We Can Group Brooklyn,94 Hale Avenue,Brooklyn,Hempstead
"Tuesday, 7:30 PM",Spiritual Connection Group,82 10 Queens Blvd,Queens,Hempstead
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Hempstead
"Wednesday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Hempstead
"Wednesday, 11:00 AM",Recovery On The Southside Group,143 22 109th Ave,Queens,Hempstead
"Wednesday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Hempstead
"Wednesday, 1:00 PM",Underground Recovery Group,92 13 147th Place,Jamaica,Hempstead
"Wednesday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Hempstead
"Wednesday, 5:45 PM",Two for One Group,110 54 Farmers Boulevard,Queens,Hempstead
"Wednesday, 6:00 PM",Searching for Freedom Group,1846 Randall Avenue,Bronx,Hempstead
"Wednesday, 6:30 PM",Women on Wednesday New Beginnings Group,196 West Centennial Avenue,Roosevelt,Hempstead
"Wednesday, 6:30 PM",Bridge Over Troubled Water Group,560 Balcom Avenue,Bronx,Hempstead
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Hempstead
"Wednesday, 7:00 PM",Foundation To Recovery Group,Online2969 Otis Avenue,Bronx,Hempstead
"Wednesday, 7:15 PM",It Works How And Why Group Franklin Square,619 Fenworth Boulevard,Franklin Square,Hempstead
"Wednesday, 7:30 PM",Two for One Group,110 54 Farmers Boulevard,Queens,Hempstead
"Wednesday, 7:30 PM",Recover And Live Group,85 18 61st Road,Queens,Hempstead
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Hempstead
"Wednesday, 7:30 PM",But One Primary Purpose Group,Online2125 Watson Avenue,Bronx,Hempstead
"Wednesday, 7:30 PM",Recovery From The Inside Group,81 Maple Avenue,Hempstead,Hempstead
"Wednesday, 8:00 PM",Basically Genesis Group,100 Park Boulevard,Massapequa Park,Hempstead
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Hempstead
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Hempstead
"Wednesday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Hempstead
"Thursday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Hempstead
"Thursday, 11:00 AM",Recovery On The Southside Group,143 22 109th Ave,Queens,Hempstead
"Thursday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Hempstead
"Thursday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Hempstead
"Thursday, 4:00 PM",Second Chance at Life Group,200 12 Hollis Avenue,Queens,Hempstead
"Thursday, 6:30 PM",Best Thing Going Group,110 54 Farmers Boulevard,Queens,Hempstead
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Hempstead
"Thursday, 7:00 PM",Recovery on Main Street Group,16 Main Street,Hempstead,Hempstead
"Thursday, 7:30 PM",Welcome to Life Group,109 55 Guy R Brewer Boulevard,Queens,Hempstead
"Thursday, 7:30 PM",Kick It and Stay Clean Group,600 New Hyde Park Road,New Hyde Park,Hempstead
"Thursday, 7:30 PM",Recovery on the Rock Group,150 Beach 110th Street,Queens,Hempstead
"Thursday, 7:30 PM",Clean in Queens Group,Online103 10 101st Avenue,Queens,Hempstead
"Thursday, 7:30 PM",Spirit Alive Workshop Group,1020 Van Siclen Avenue,Brooklyn,Hempstead
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Hempstead
"Thursday, 8:00 PM",Merrick Sunrise Group,2101 William Place,Merrick,Hempstead
"Thursday, 8:00 PM",Growing Together Group,Online505 Willis Avenue,Williston Park,Hempstead
"Thursday, 8:00 PM",Roslyn Mens Group,Online1579 Northern Boulevard,Roslyn,Hempstead
"Thursday, 8:00 PM",New Connection Group,95 Stewart Avenue,Hicksville,Hempstead
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Hempstead
"Thursday, 8:00 PM",Recovery Island Group,113 City Island Avenue,Bronx,Hempstead
"Saturday, 10:00 AM",Good News Is Group,110 54 Farmers Boulevard,Queens,Hempstead
"Saturday, 1:00 PM",Daystar Group,95 Stewart Avenue,Hicksville,Hempstead
"Saturday, 2:00 PM",Hope at Two Group,2424 Linden Boulevard,Brooklyn,Hempstead
"Saturday, 6:00 PM",Yes We Can Recover Group,107 20 Northern Boulevard,Queens,Hempstead
"Saturday, 6:45 PM",Keep it Simple Group Queens,185 15 Baisley Boulevard,Queens,Hempstead
"Saturday, 7:00 PM",Meeting With No Name Group,157 11 111th Avenue,Queens,Hempstead
"Saturday, 7:30 PM",Miracles on Main Street Group,60 East Main Street,Oyster Bay,Hempstead
"Saturday, 7:30 PM",Coffee Group,196 West Centennial Avenue,Roosevelt,Hempstead
"Saturday, 7:30 PM",Recovery Under the Stars Group,109th Street,Queens,Hempstead
"Saturday, 7:30 PM",One Step At A Time Group,Online600 Soundview Avenue,Bronx,Hempstead
"Saturday, 7:30 PM",Back To Life Group Bronx,Online595 Minnieford Avenue,Bronx,Hempstead
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Hempstead
"Saturday, 7:30 PM",Change is the Game Group,50 Ascan Avenue,Queens,Hempstead
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Hempstead
"Saturday, 8:00 PM",Steps On The Beach Group,Online75 East Olive Street,Long Beach,Hempstead
"Saturday, 8:30 PM",Keep it Simple Group Queens,185 15 Baisley Boulevard,Queens,Hempstead
"Saturday, 9:15 PM",Meditation on Main Street Group,60 East Main Street,Oyster Bay,Hempstead
"Sunday, 10:00 AM",Shelter Rock Live,178 Cold Spring Road,Syosset,Huntington
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Huntington
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Huntington
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Huntington
"Sunday, 7:30 PM",Sicker Than Most Group,107 East Main Street,Bay Shore,Huntington
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Huntington
"Tuesday, 7:00 PM",Simply Women Group,Online48 Greene Avenue,Sayville,Huntington
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Huntington
"Tuesday, 7:30 PM",Step In Time Group,111 Nassau Avenue,Islip,Huntington
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Huntington
"Wednesday, 6:30 PM",Women on Wednesday New Beginnings Group,196 West Centennial Avenue,Roosevelt,Huntington
"Wednesday, 7:30 PM",Recovery in Ronkonoma Group,307 Hawkins Avenue,Ronkonkoma,Huntington
"Thursday, 7:00 PM",True Recovery,1101 Lakeland Avenue,Bohemia,Huntington
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Huntington
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Huntington
"Thursday, 8:00 PM",Roslyn Mens Group,Online1579 Northern Boulevard,Roslyn,Huntington
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Huntington
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Huntington
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Huntington
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Huntington
"Monday, 7:15 PM",Recovery Doesnt Stop Group,1101 Lakeland Avenue,Bohemia,Huntington
"Saturday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Huntington
"Thursday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Huntington
"Wednesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Huntington
"Tuesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Huntington
"Monday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Huntington
"Monday, 7:30 PM",Recovery By The Book Group,196 West Centennial Avenue,Roosevelt,Huntington
