PROVIDER_NAME,PROVIDER_NUMBER,PROVIDER_STREET,PROVIDER_CITY,PROVIDER_COUNTY,PROVIDER_STATE,PROVIDER_ZIP_CODE,PROVIDER_ZIP_CODE_PLUS_4,PROGRAM_NAME,PROGRAM_NUMBER,PROGRAM_COUNTY,PROGRAM_STREET_ADDRESS,PROGRAM_CITY,PROGRAM_STATE,PROGRAM_ZIP_CODE,PROGRAM_ZIP_CODE_PLUS_4,PROGRAM_DIRECTOR,PROGRAM_DIRECTOR_EMAIL,PROGRAM_DIRECTOR_TELEPHONE,PROGRAM_DIRECTOR_PHONE_EXTENSION,PROGRAM_TYPE,SERVICE_TYPE,ADMISSION_PHONE,ADMISSION_PHONE_EXT,TELEHEALTH_SERVICES,ADOLESCENT_DESIGNATION,PROBLEM_GAMBLING,INTEGRATED_LICENSE_SERVICE,PARENTS_WITH_CHILDREN,LGBTQ_ENDORSEMNT,ADDITIONAL_LOCATION_STREET,ADDITIONAL_LOCATION_CITY,ADDITIONAL_LOCATION_ZIP,ADDITIONAL_LOCATION_COUNTYNAME,Latitude,Longitude
"PROMESA, Inc.",166,311 East 175 Street,Bronx,Bronx,NY,10457,7239.0,Camino Nuevo OTP,52785,Albany,175 Central Ave,Albany,NY,12206,2938.0,Mrs. Elizabeth Smith CASAC,esmith@hubwny.org,7167684040,,Opioid Treatment,Opioid Outpatient Treatment,5187295659.0,5002.0,Y,,,Mental Health,,,,,,,40.846769,-73.904444
"Senior Hope Counseling, Inc.",45240,650 Warren St,Albany,Albany,NY,12208,2998.0,"Senior Hope Counseling, Inc. OP",52134,Albany,650 Warren St,Albany,NY,12208,2998.0,Dr. Nicole MacFarland LCSW,N.MacFarland@Seniorhope.org,5184897777,,Outpatient Services,Outpatient Clinic,5184897777.0,,Y,,,,,,,,,,42.658313,-73.786765
St. Peter's Hospital City of Albany,83060,3 Mercycare Ln,Guilderland,Saratoga,NY,12084,3504.0,SPARC Halfway House RRi,53712,Albany,64 2nd Ave,Albany,NY,12202,1240.0,Ms. Jasmine Guerrero-Wiggs,Jasmine.Guerrero-Wiggs@sphp.com,5184495170,1109.0,Residential Services,820 Residential Reintegration,5184495170.0,1113.0,Y,,,,,,,,,,42.699593,-73.904971
Trinity Alliance of the Capital Region,24440,15 Trinity Place,Albany,Albany,NY,12202,,Trinity Alliance Capital Region RRi,53244,Albany,76-82 2nd St,Albany,NY,12210,2517.0,Mrs. Joyce C Williams,Joyce.Williams@ta-cr.org,5184361104,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,42.645464,-73.756331
"Whitney M Young Jr Health Center, Inc.",35200,920 Lark Dr,Albany,Albany,NY,12207,,F.A.C.T.S. OP,50855,Albany,10 DeWitt Street,Albany,NY,12207,2423.0,Mr. Clint Garrigan CASAC,cgarrigan@wmyhealth.org,5184633882,4927.0,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,42.661911,-73.748009
Allegany Council on Alcsm & Subs Abuse,38110,3084 Trapping Brook Rd,Wellsville,Allegany,NY,14895,9445.0,Allegany Council on Alcsm & SA OP,50177,Allegany,2956 Airway Rd,Wellsville,NY,14895,9329.0,Mr. Chad Sebastian CASAC,csebastian@alleganycouncil.org,5855936738,130.0,Outpatient Services,Outpatient Clinic,5855936738.0,130.0,Y,,,,,,40 West Main Street,Cuba,14727.0,Allegany,42.1201303,-77.9030215
"Argus Community, Inc.",10160,East 156th Street,Bronx,Bronx,NY,1045,,"Argus Community, Inc. RR 1",53152,Bronx,402 E 156th St,Bronx,NY,10455,1232.0,Ms. Leona Jones CASAC,ljones@arguscommunity.org,7189932376,,Residential Services,820 Rehab and Reintegration,,,,,,,,,,,,,40.8146883,-73.89686
"Arms Acres, Inc.",32412,75 Seminary Hill Rd,Carmel,Putnam,NY,10512,1921.0,"Arms Acres, Inc. OP 2",52100,Bronx,3584 Jerome Ave,Bronx,NY,10467,1006.0,Ms. Thais Mitchell,tmitchell@libertymgt.com,7186531537,5104.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,41.412958,-73.675581
"BASICS, Bronx Addiction Services",1857,Franklin Ave,Bronx,Bronx,NY,10456,6704.0,Franklin House SRR,53297,Bronx,1064 Franklin Ave,Bronx,NY,10456,6704.0,Mr. Antonio Valdez,anvaldez@basicsinc.org,9173835160,,Residential Services,820 Stabil Rehab Reintegration,,,,,,,,,,,,,40.83067068,-73.90311338
Bronx Addiction Treatment Center,90008,1500 Waters Pl,Bronx,Bronx,NY,10461,2723.0,Bronx ATC IP,50740,Bronx,1500 Waters Pl,Bronx,NY,10461,2723.0,Ms. Margaret W Hurst LCSW,margaret.hurst@oasas.ny.gov,7189040026,,Inpatient Treatment Services,Inpatient Rehabilitation,7189040026.0,,Y,,Y,,,,,,,,40.8487901,-73.8393639
BronxCare Health System,85190,1276 Fulton Ave,Bronx,Bronx,NY,10456,3402.0,BronxCare Addictions Detox Prog MSW-IP,52763,Bronx,1285 Fulton Ave,Bronx,NY,10456,3401.0,Dr. Andreas Evdokas PhD,aevdokas@bronxcare.org,7189016487,,Crisis Services,Med Sup Withdrawal - Inpatient,7185183733.0,,,,,,,,,,,,40.831438,-73.903402
"Concourse Medical Center, Inc.",43050,880 Morris Ave,Bronx,Bronx,NY,10451,3412.0,"Concourse Medical Center, Inc. OTP",829,Bronx,880 Morris Ave,Bronx,NY,10451,3412.0,Ms. Ana M Matos CASAC,amatos@concoursemedical.com,7186659340,118.0,Opioid Treatment,Opioid Outpatient Treatment,7186659340.0,122.0,Y,,,,,,,,,,40.825709,-73.918027
Counseling Services of New York LLC,44640,911 Walton Ave,Bronx,Bronx,NY,10452,,Counseling Services of New York LLC OP,52002,Bronx,911 Walton Ave,Bronx,NY,10452,9554.0,Garrett Stokes,programdirector@csofny.com,6463019716,,Outpatient Services,Outpatient Clinic,7185901790.0,6609.0,Y,,,,,,,,,,40.828332,-73.923826
Jacobi Medical Center (HHC),85140,1400 Pelham Pkwy S,Bronx,Bronx,NY,10461,1197.0,Jacobi Medical Center (HHC) OP,51889,Bronx,1400 Pelham Pkwy S,Bronx,NY,10461,1197.0,Mrs. Tabitha Gonzalez,gonzalet6@nychhc.org,7189186711,,Outpatient Services,Outpatient Clinic,7189187798.0,,Y,,,,,,,,,,40.855965,-73.84638
Lincoln Medical & MHC (HHC),84150,545 East 142 Street,Bronx,Bronx,NY,10451,,Rec Ctr at Belvis Diagnostic & TC OP,6813,Bronx,545 East 142nd St,Bronx,NY,10454,2110.0,Christina Laboy CSW-R,Christina.Laboy@nychhc.org,7185794061,,Outpatient Services,Outpatient Clinic,7185794063.0,,Y,,,,,,,,,,40.810121,-73.915775
Montefiore Medical Center,85420,1510 Waters Place,Bronx,Bronx,NY,10470,2723.0,Montefiore Medical Center MSW-OP,52788,Bronx,1510 Waters Pl,Bronx,NY,10461,,Ms. Anaam Hussain,anhussai@montefiore.org,7188293440,8578.0,Crisis Services,Med Sup Withdrawal-Outpatient,,,,,,,,,,,,,40.845889,-73.840795
"Odyssey House, Inc.",19400,120 Wall Street,New York,New York,NY,10005,,Odyssey House Family ReEntry RRi,53846,Bronx,1328 Clinton Ave,Bronx,NY,10456,,Ms. Kashifa Barber,kbarber@odysseyhousenyc.org,7183784520,,Residential Services,820 Residential Reintegration,,,,,,,Y,,,,,,40.704771,-74.006003
"Osborne Treatment Services,Inc",1879,809 Westchester Ave,Bronx,Bronx,NY,10455,1704.0,"Osborne Treatment Services, Inc OP",7323,Bronx,809 Westchester Ave,Bronx,NY,10455,1704.0,Mr. Harold Steenwerth MPS,hsteenwerth@osborneny.org,6462764695,,Outpatient Services,Outpatient Clinic,7187072679.0,,Y,,,,,,,,,,40.81926,-73.90303
Postgraduate Center for Mental Health,18270,158 E 35th St,New York,New York,NY,10016,4102.0,Bronx Recovery Support Center OP,53437,Bronx,1775 Grand Concourse,Bronx,NY,10453,8202.0,Mr. Cesar Vanegas,cvanegas@pgcmh.org,2128895500,202.0,Outpatient Services,Outpatient Clinic,,,Y,,,Mental Health,,,,,,,40.746476,-73.978314
Riverdale Mental Health Association,18040,5676 Riverdale Avenue,Bronx,Bronx,NY,10471,2191.0,Riverdale Mental Health Association OP,2016,Bronx,5676 Riverdale Ave,Bronx,NY,10471,2191.0,Ms. Mayra L Estrada-Cruz LCSW,mestrada@mosaicmh.org,7187965300,159.0,Outpatient Services,Outpatient Clinic,7187965300.0,117.0,Y,,,OMH Hosted,,,,,,,40.906225,-73.903951
"Samaritan Daytop Village, Inc.",16890,138-02 Queens Blvd,Jamaica,Queens,NY,11435,,Bronx Outreach Center OP,52769,Bronx,900 Arnow Ave,Bronx,NY,10469,3906.0,Ms. Katelyn McDonagh,Katelyn.McDonagh@samaritanvillage.org,7185189007,,Outpatient Services,Outpatient Clinic,,,Y,,,Mental Health,,,,,,,40.708295,-73.818693
"SCAN-Harbor, Inc.",2035,345 E 102nd St,New York,New York,NY,10029,,"SCAN-Harbor, Inc. OP",7422,Bronx,1377 Jerome Ave,Bronx,NY,10452,,Mr. Helio V Dos Santos,hdossantos@scanny.org,7182932230,205.0,Outpatient Services,Outpatient Clinic,7182932230.0,205.0,,,,,,,,,,,40.787529,-73.942375
St. Barnabas Hospital,81630,4422 3rd Ave,Bronx,Bronx,NY,10457,,St. Barnabas Hospital MMD,50717,Bronx,4422 3rd Ave,Bronx,NY,10457,,Ms. Franchesca Reynoso-Marage,fmarage@sbhny.org,7189606590,,Crisis Services,Medical Managed Detoxification,7189606636.0,4220.0,Y,,,,,,,,,,40.85336,-73.890725
"Success Counseling Services, Inc.",29070,139 W 168th St,Bronx,Bronx,NY,10452,3403.0,Success Counseling Services OP,51788,Bronx,139 W 168th St,Bronx,NY,10452,,Mr. Josh Greenfeld,jgreenfeld@success-counseling.com,7185386112,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.838737,-73.924954
"T.R.I. Center, Inc.",16350,1369 Broadway,New York,New York,NY,10018,,"T.R.I. Center, Inc. OP 1",6134,Bronx,2488 Grand Concourse,Bronx,NY,10458,5206.0,Ms. aneta Skrobacz CSW,aneta.skrobacz@tricenter.com,7185847204,,Outpatient Services,Outpatient Clinic,7185847204.0,,Y,,,,,,,,,,40.752144,-73.987818
"The PAC Program of the Bronx, Inc.",47080,1215-1217 Stratford Ave,Bronx,Bronx,NY,10472,2501.0,"The PAC Program of the Bronx, Inc OP",52233,Bronx,1215-1217 Stratford Ave,Bronx,NY,10472,2501.0,Mr. Kevin L Ross Psy D,drross@thepacprogram.com,7183282605,,Outpatient Services,Outpatient Clinic,7183282605.0,,Y,,,,,,15 West 39th Street,New York,10018.0,New York,40.829796,-73.875938
"United Bronx Parents, Inc",330,773 Prospect Ave,Bronx,Bronx,NY,10459,,La Casita III-The Mix IR 1,7258,Bronx,1006 E 151st St,Bronx,NY,10455,3342.0,Gloria Montalvo,gmontalvo@ubpinc.org,7187420082,,Residential Services,Intensive Residential,,,,,,,Y,,,,,,40.817829,-73.902721
"VERTEX, LLC",44120,1080 E Gun Hill Rd,Bronx,Bronx,NY,10469,3742.0,"VERTEX , LLC OP",51992,Bronx,1080 E Gun Hill Rd,Bronx,NY,10469,3742.0,Mr. Paul Henderson CASAC,phvertex@gmail.com,7186531117,101.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,2639 Atlantic Avenue,Brooklyn,11207.0,Kings,40.873827,-73.856139
Vocational Instruction Proj Commun Srv,325,770 East 176th Street,Bronx,Bronx,NY,10460,,VIP Community Services OCCBHC,53773,Bronx,770 E 176th St,Bronx,NY,10460,4617.0,Ms. Fenesha Blanchard LMSW,fblanchard@vipservices.org,7185835150,8418.0,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,7185835150.0,8418.0,Y,,,Mental Health and Primary Care,,,,,,,40.842014,-73.890325
Addiction Center of Broome County Inc.,36030,30 W State St,Binghamton,Broome,NY,13901,2332.0,Addiction Center of Broome County  OP,50396,Broome,30 W State St,Binghamton,NY,13901,,Mr. TJ Fotorny LCSW,cpirich@acbcservices.org,6077237308,121.0,Outpatient Services,Outpatient Clinic,6077237308.0,121.0,Y,,,,,,1182 Chenango Street,Binghamton,13901.0,Broome,42.108917,-75.904789
"Fairview Recovery Services, Inc.",36020,5 Merrick St,Binghamton,Broome,NY,13904,1109.0,Fairview Recovery Services RR,53302,Broome,5 Merrick St,Binghamton,NY,13904,1109.0,Mrs. Hazell McKenzie LMSW,hmckenzie@frsinc.org,6077228987,253.0,Residential Services,820 Rehab and Reintegration,,,Y,,,,,,,,,,42.113604,-75.876159
"Helio Health, Inc.",36090,555 E Genesee St,Syracuse,Onondaga,NY,13202,2118.0,Helio Health Binghamton Inpt Rehab,53359,Broome,249 Glenwood Rd,Binghamton,NY,13905,1603.0,Ms. Helena Meyer LCSW,hmeyer@helio.health,6072963072,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,,,,,,43.048227,-76.144602
"United Health Services Hospitals, Inc.",85330,10-42 Mitchell Avenue,Binghamton,Broome,NY,13903,,New Horizons CD Treatment Center IP,50598,Broome,10-42 Mitchell Ave,Binghamton,NY,13903,1617.0,Mrs. Cara J Fraser,cara.fraser@nyuhs.org,6077622152,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,,,,,,42.0865191,-75.9144646
"CASA-Trinity, Inc.",37130,4612 Millennium Dr,Geneseo,Livingston,NY,14454,1197.0,"CASA-Trinity, Inc.OP 4",53623,Cattaraugus,201 S Union St,Olean,NY,14760,3646.0,Mr. Keith Woods,kwoods@casa-trinity.org,7163734303,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,356 Main Street,Randolph,14772.0,Cattaraugus,42.797372,-77.791243
Cattaraugus Co Dept of Community Srvcs,70690,1 Leo Moss Drive,Olean,Cattaraugus,NY,14760,1156.0,Cattaraugus Cnty Dpt of Cmnty Srvcs OP,53668,Cattaraugus,1 Leo Moss Dr,Olean,NY,14760,,Ms. Amy L Mann MED,almann@cattco.org,7163738040,,Outpatient Services,Outpatient Clinic,7163738040.0,,,,,,,,,,,,42.086373,-78.449981
Confidential Help for Alcohol & Drugs,36200,75 Genesee St,Auburn,Cayuga,NY,13021,3644.0,CHAD OP,50846,Cayuga,75 Genesee St,Auburn,NY,13021,3644.0,Ms. Jacqueline A Morrell CASAC,jackieb@chadcounseling.og,3152539786,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,42.932033,-76.566759
Unity House of Cayuga County Inc.,23570,217 Genesee Street Suite 14,Auburn,Cayuga,NY,13021,,Grace House RRi,53667,Cayuga,58 Osborne St,Auburn,NY,13021,,Ms. Dorothy Radcliff,dradcliff@unityhouse.com,3152583998,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,42.9262375,-76.5783189
"Brooks-TLC Hospital System, Inc.",49960,529 Central Ave,Dunkirk,Chautauqua,NY,14048,,"Brooks-TLC Hospital System, Inc  OP",53215,Chautauqua,33 N Main St,Cassadaga,NY,14718,,Michelle Crandall,mcrandall@tlchealth.org,7165953355,1204.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,42.480032,-79.334599
Chautauqua Co. Dept of Mental Health,70360,2 Academy St,Mayville,Chautauqua,NY,14757,1095.0,Chautauqua Co Dept of MH OP,50702,Chautauqua,200 E 3rd St,Jamestown,NY,14701,5433.0,Carol Wright,Wrightc@chqgov.com,7166618330,,Outpatient Services,Outpatient Clinic,7166618330.0,,Y,,,OMH Hosted,,,,,,,42.253938,-79.507295
UPMC Chautauqua at WCA,81610,207 Foote Ave,Jamestown,Chautauqua,NY,14702,840.0,UPMC BehavioralHealth Wellness Ctr SRR,53338,Chautauqua,51 Glasgow Ave,Jamestown,NY,14701,6440.0,Mrs. Mandy Fauble,faublem2@upmc.edu,8144512225,,Residential Services,820 Stabil Rehab Reintegration,,,,,,,,,,,,,42.09128,-79.232018
Arnot Ogden Medical Center,82200,600 Roe Ave,Elmira,Chemung,NY,14905,1629.0,New Dawn STARS IP,53357,Chemung,555 St. Joseph's Blvd,Elmira,NY,14901,3223.0,Tracie Miller,tracie.miller@arnothealth.org,6077377801,7887.0,Inpatient Treatment Services,Inpatient Rehabilitation,,,,,,,,,,,,,42.100273,-76.828215
The Salvation Army,37020,414 Lake St,Elmira,Chemung,NY,14901,,Elmira Citadel CR,50470,Chemung,401 Division St,Elmira,NY,14901,1513.0,Mr. Glenn Jarvis,glenn.jarvis@use.salvationarmy.org,6073330559,,Residential Services,Community Residential,6073330559.0,,,,,,,,,,,,42.093852,-76.80334
Chenango County Community Srvs Board,70010,5 Court St,Norwich,Chenango,NY,13815,,Chenango Co Behavioral Health Srvs OP,472,Chenango,5 Court St,Norwich,NY,13815,1695.0,Ms. Sarah Nucero LCSW,snucero@co.chenango.ny.us,6073371600,,Outpatient Services,Outpatient Clinic,6073371600.0,,Y,,,,,,,,,,42.532214,-75.525962
"Behavioral Health Services North, Inc.",12050,22 US Oval,Plattsburgh,Clinton,NY,12903,,"Behavioral Health Svcs North, Inc. OP3",53784,Clinton,2155 State Route 22B,Morrisonville,NY,12962,3417.0,Taryn Johnston,tjohnston@bhsn.org,5185638000,,Outpatient Services,Outpatient Clinic,5185638000.0,,Y,,,,,,,,,,44.684758,-73.44642
Champlain Valley Family Center,1065,20 Ampersand Drive,Plattsburgh,Clinton,NY,12901,,Champlain Valley Family Center OP,3101,Clinton,20 Ampersand Dr,Plattsburgh,NY,12901,6500.0,Mr. Jacob E Coulombe,jcoulombe@cvfamilycenter.org,5185618480,,Outpatient Services,Outpatient Clinic,5185618480.0,,Y,,,Mental Health,,,55 Beekman Street,Plattsburgh,12901.0,Clinton,44.688819,-73.484517
Clinton Co. Community Services Board,70020,"130 Arizona Ave, Ste 1500",Plattsburgh,Clinton,NY,12903,4908.0,Clinton County Addiction Services OP,50757,Clinton,130 Arizona Ave,Plattsburgh,NY,12903,4908.0,Ms. Richelle Gregory,richelle.gregory@clintoncountygov.com,5185654060,,Outpatient Services,Outpatient Clinic,,,,,,OMH Hosted,,,483 State Route 11,Champlain,12919.0,Clinton,44.661235,-73.459176
"Conifer Park, Inc.",14770,79 Glenridge Rd,Glenville,Schenectady,NY,12302,4523.0,"Conifer Park, Inc. OP 1",51575,Clinton,80 Sharron Ave,Plattsburgh,NY,12901,3894.0,Miss Amanda L Leary CASAC,ALeary@libertymgt.com,5185610130,,Outpatient Services,Outpatient Clinic,5185610130.0,,Y,,,,,,,,,,42.868477,-73.910409
"Twin County Recovery Services, Inc.",35010,350 Power Ave,Hudson,Columbia,NY,12534,,Red Door Residential RRi,53636,Columbia,437-441 Columbia St,Hudson,NY,12534,1911.0,Renee Pine,reneep@twincountyrecoveryservices.org,5188220090,1202.0,Residential Services,820 Residential Reintegration,,,Y,,,,,,,,,,42.248086,-73.792929
Catholic Charities/Dioc of Syracuse,50760,33-35 Central Ave,Cortland,Cortland,NY,13045,2601.0,Cath Char/The Charles St Residence CR,51308,Cortland,29 Charles St,Cortland,NY,13045,2103.0,Mrs. Beckey J Lumley CASAC,blumley@ccocc.org,6077569313,283.0,Residential Services,Community Residential,6077569313.0,283.0,,,,,,,,,,,42.599967,-76.178765
Family Counseling Svcs of Cortland Co.,36350,165 Main St,Cortland,Cortland,NY,13045,3049.0,Family Counseling Svcs of Cortland OP,50991,Cortland,165-177 Main St,Cortland,NY,13045,3049.0,Amanda Stout,astout@familycs.org,6077530234,131.0,Outpatient Services,Outpatient Clinic,,,Y,,,OMH Hosted,,,257 Main Street,Binghamton,13905.0,Broome,42.594073,-76.179591
Delaware County Dept. of Mental Health,70050,243 Delaware St,Walton,Delaware,NY,13856,,Delaware Co Alcohol & Drug Service OP,50402,Delaware,243 Delaware St,Walton,NY,13856,,Debra Mierop LCSW,debra.mierop@co.delaware.ny.us,6078325888,,Outpatient Services,Outpatient Clinic,6078325888.0,,Y,,,,,,454 Delhi Drive,Delhi,13753.0,Delaware,42.168719,-75.136411
Dutchess Co. Dept. of Beh & Com Health,70180,230 North Road,Poughkeepsie,Dutchess,NY,12601,1328.0,Dutchess Co. Dept. of BCH OP,51770,Dutchess,230 North Rd,Poughkeepsie,NY,12601,1328.0,Ms. Kim Langenau,klangenau@dutchessny.gov,8454863787,,Outpatient Services,Outpatient Clinic,8454863787.0,,Y,,,Mental Health,,,,,,,41.716337,-73.930737
"Lexington Center for Recovery, Inc.",34200,2875 Route 35,Katonah,Westchester,NY,10536,3181.0,Lexington Center for Recovery OP 1,50577,Dutchess,41 Page Park Dr,Poughkeepsie,NY,12603,7500.0,Mr. Dan Strang,Dstrang@lexingtonctr.org,8454862950,1827.0,Outpatient Services,Outpatient Clinic,8454862950.0,1827.0,Y,Y,,,,,135 County House Road,Millbrook,12545.0,Dutchess,41.275119,-73.706331
"Medical Arts Sanitarium, Inc.",81770,159-05 Union Tpke,Fresh Meadows,Queens,NY,11366,1950.0,"Cornerstone of Rhinebeck, NY IP",50486,Dutchess,500 Milan Hollow Rd,Rhinebeck,NY,12572,,Mrs. Jennifer Schofield LCSW,jschofield@cornerstoneny.com,8452663481,2300.0,Inpatient Treatment Services,Inpatient Rehabilitation,8452663481.0,2580.0,Y,,,,,,,,,,40.720782,-73.807857
Mental Hlth America of Dutchess Co Inc,14020,253 Mansion St,Poughkeepsie,Dutchess,NY,12601,2623.0,Bolger House RRi,53681,Dutchess,230 Church St,Poughkeepsie,NY,12601,4264.0,Britney Ettinger CASAC,bettinger@mhadutchess.org,8454732500,4201.0,Residential Services,820 Residential Reintegration,8454732500.0,4201.0,,,,,,,,,,,41.706292,-73.916896
Mid-Hudson Valley Div. of WMC,87140,100 Woods Rd,Valhalla,Westchester,NY,10595,1530.0,Mid-Hudson Valley Div. of WMC IP,52760,Dutchess,241 North Rd,Poughkeepsie,NY,12601,1154.0,Ms. Linda Woodbine,linda.woodbine@wmchealth.org,8454835183,,Inpatient Treatment Services,Inpatient Rehabilitation,,,,,,,,,,,,,41.086043,-73.806126
"New Hope Manor, Inc.",219,35 Hillside Rd,Barryville,Sullivan,NY,12719,,"New Hope Manor, Inc. RRi",53064,Dutchess,141 South Ave,Poughkeepsie,NY,12601,4510.0,Erika Vidal,bgardner@newhopemanor.org,8454522870,,Residential Services,820 Residential Reintegration,8454522870.0,,,,,,Y,,,,,,41.475202,-74.906882
St. Joseph's Addiction Treatment & Rec,35160,159 Glenwood Dr,Saranac Lake,Franklin,NY,12983,2385.0,St. Joseph's Adict Trxt & Rec SL,51646,Dutchess,7 Fallkill Pl,Poughkeepsie,NY,12601,1804.0,Ms. Susan Tobin CASAC,stobin@stjoestreatment.org,8454837051,,Residential Services,Supportive Living,5188976359.0,,,,,,,,,,,,44.314197,-74.13832
Beacon Center,32812,3354 Sheridan Dr,Amherst,Erie,NY,14226,1439.0,Beacon Center OP 1,51048,Erie,3354 Sheridan Dr,Amherst,NY,14226,1439.0,Mrs. Carolyn Grisko,cgrisko@beaconcenter.net,7168311937,103.0,Outpatient Services,Outpatient Clinic,7168311937.0,115.0,Y,,,,,,,,,,42.98101,-78.809551
